"","hID","HI2","HI3Y","HI6","HI7","HI11","EDUC","HL33","AGEREC","WLTHSCOR","WLTHIND5","cluster","WI3AY","CM2AY","CM7","MN2A","MN2B","MN2C","MELEVEL","DEADKIDS","CEB","WAGE","MSTATUS","CM11Y","WMWEIGHT","MN3A","MN3B","MN3C"
"62","1_1_NA_NA_11_4060",4060,2001,"Urbain","Kinshasa",5,"Primary","Masculin","50 ans et plus",2.25148382654077,"Richest","1_1_NA_NA_11",1985,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"63","1_1_NA_NA_11_4060",4060,2001,"Urbain","Kinshasa",5,"Primary","Masculin","50 ans et plus",2.25148382654077,"Richest","1_1_NA_NA_11",1982,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"64","1_1_NA_NA_11_4061",4061,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.39985876388626,"Richest","1_1_NA_NA_11",1970,1991,"Non",NA,NA,NA,"Secondary +",0,3,"30-34","Currently married","1999",0.64203,NA,NA,NA
"65","1_1_NA_NA_11_4062",4062,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.39985876388626,"Richest","1_1_NA_NA_11",1977,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Currently married",NA,0.64203,NA,NA,NA
"66","1_1_NA_NA_11_4063",4063,2001,"Urbain","Kinshasa",1,"Primary","Feminin","50 ans et plus",2.24766733373571,"Richest","1_1_NA_NA_11",1971,1993,"Oui",NA,NA,NA,"Secondary +",1,4,"30-34","Formerly married","1999",0.64203,NA,NA,NA
"67","1_1_NA_NA_11_4064",4064,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.4043113388255,"Richest","1_1_NA_NA_11",1975,1996,"Non",NA,NA,NA,"Secondary +",0,3,"25-29","Currently married","2001",0.64203,NA,NA,NA
"68","1_1_NA_NA_11_4066",4066,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.08358060545946,"Richest","1_1_NA_NA_11",1973,NA,NA,NA,NA,NA,"None",NA,0,"25-29","Currently married",NA,0.64203,NA,NA,NA
"69","1_1_NA_NA_11_4067",4067,2001,"Urbain","Kinshasa",1,"Secondary+","Feminin","50 ans et plus",2.67767477715642,"Richest","1_1_NA_NA_11",1985,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"70","1_1_NA_NA_11_4068",4068,2001,"Urbain","Kinshasa",6,"Secondary+","Masculin","50 ans et plus",2.51430148166235,"Richest","1_1_NA_NA_11",1968,1988,"Oui",NA,NA,NA,"Secondary +",1,6,"30-34","Formerly married",NA,0.64203,NA,NA,NA
"71","1_1_NA_NA_11_4068",4068,2001,"Urbain","Kinshasa",6,"Secondary+","Masculin","50 ans et plus",2.51430148166235,"Richest","1_1_NA_NA_11",1976,NA,NA,NA,NA,NA,"None",NA,0,"20-24","Never married",NA,0.64203,NA,NA,NA
"72","1_1_NA_NA_11_4068",4068,2001,"Urbain","Kinshasa",6,"Secondary+","Masculin","50 ans et plus",2.51430148166235,"Richest","1_1_NA_NA_11",1983,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"73","1_1_NA_NA_11_4068",4068,2001,"Urbain","Kinshasa",6,"Secondary+","Masculin","50 ans et plus",2.51430148166235,"Richest","1_1_NA_NA_11",1973,2001,"Non","Non","Infirmiere / sage femme","Non","Secondary +",0,1,"25-29","Currently married","2001",0.64203,"Non","Infirmiere / sage femme","Non"
"74","1_1_NA_NA_11_4068",4068,2001,"Urbain","Kinshasa",6,"Secondary+","Masculin","50 ans et plus",2.51430148166235,"Richest","1_1_NA_NA_11",1958,1981,"Oui",NA,NA,NA,"None",1,8,"40-44","Formerly married",NA,0.64203,NA,NA,NA
"75","1_1_NA_NA_11_4068",4068,2001,"Urbain","Kinshasa",6,"Secondary+","Masculin","50 ans et plus",2.51430148166235,"Richest","1_1_NA_NA_11",1981,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Never married",NA,0.64203,NA,NA,NA
"76","1_1_NA_NA_11_4069",4069,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.17722090261217,"Richest","1_1_NA_NA_11",1978,1995,"Non","Non","Non","Matrone","Secondary +",0,3,"20-24","Currently married","2001",0.64203,"Non","Non","Matrone"
"77","1_1_NA_NA_11_4070",4070,2001,"Urbain","Kinshasa",5,"Secondary+","Masculin","50 ans et plus",2.08697304350841,"Richest","1_1_NA_NA_11",1973,1996,"Non",NA,NA,NA,"Secondary +",0,1,"25-29","Never married","1996",0.64203,NA,NA,NA
"78","1_1_NA_NA_11_4070",4070,2001,"Urbain","Kinshasa",5,"Secondary+","Masculin","50 ans et plus",2.08697304350841,"Richest","1_1_NA_NA_11",1976,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Never married",NA,0.64203,NA,NA,NA
"79","1_1_NA_NA_11_4070",4070,2001,"Urbain","Kinshasa",5,"Secondary+","Masculin","50 ans et plus",2.08697304350841,"Richest","1_1_NA_NA_11",1979,2000,"Non","Docteur","Non","Non","Secondary +",0,1,"20-24","Never married","2000",0.64203,"Non","Non","Matrone"
"80","1_1_NA_NA_11_4070",4070,2001,"Urbain","Kinshasa",5,"Secondary+","Masculin","50 ans et plus",2.08697304350841,"Richest","1_1_NA_NA_11",1981,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"81","1_1_NA_NA_11_4070",4070,2001,"Urbain","Kinshasa",5,"Secondary+","Masculin","50 ans et plus",2.08697304350841,"Richest","1_1_NA_NA_11",1985,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"82","1_1_NA_NA_11_4071",4071,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.27396539263089,"Richest","1_1_NA_NA_11",1983,NA,NA,NA,NA,NA,"Primary",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"83","1_1_NA_NA_11_4072",4072,2001,"Urbain","Kinshasa",3,"Secondary+","Feminin","25 a 49 ans",2.35893715616714,"Richest","1_1_NA_NA_11",1971,1985,"Non",NA,NA,NA,"Secondary +",0,3,"30-34","Formerly married","1998",0.64203,NA,NA,NA
"84","1_1_NA_NA_11_4072",4072,2001,"Urbain","Kinshasa",3,"Secondary+","Feminin","25 a 49 ans",2.35893715616714,"Richest","1_1_NA_NA_11",1977,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Never married",NA,0.64203,NA,NA,NA
"85","1_1_NA_NA_11_4072",4072,2001,"Urbain","Kinshasa",3,"Secondary+","Feminin","25 a 49 ans",2.35893715616714,"Richest","1_1_NA_NA_11",1980,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Never married",NA,0.64203,NA,NA,NA
"86","1_1_NA_NA_22_4271",4271,2001,"Urbain","Kinshasa",3,"Secondary+","Masculin","25 a 49 ans",2.34935175251426,"Richest","1_1_NA_NA_22",1967,1995,"Non",NA,NA,NA,"Secondary +",0,3,"30-34","Currently married","2000",0.64203,NA,NA,NA
"87","1_1_NA_NA_22_4271",4271,2001,"Urbain","Kinshasa",3,"Secondary+","Masculin","25 a 49 ans",2.34935175251426,"Richest","1_1_NA_NA_22",1978,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Never married",NA,0.64203,NA,NA,NA
"88","1_1_NA_NA_22_4271",4271,2001,"Urbain","Kinshasa",3,"Secondary+","Masculin","25 a 49 ans",2.34935175251426,"Richest","1_1_NA_NA_22",1982,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"89","1_1_NA_NA_22_4272",4272,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.43021969703642,"Richest","1_1_NA_NA_22",1968,1995,"Non",NA,NA,NA,"Secondary +",0,2,"30-34","Currently married","1996",0.64203,NA,NA,NA
"90","1_1_NA_NA_22_4273",4273,2001,"Urbain","Kinshasa",1,"Secondary+","Feminin","50 ans et plus",2.36130381139765,"Richest","1_1_NA_NA_22",1974,1995,"Non",NA,NA,NA,"Secondary +",0,1,"25-29","Never married",NA,0.64203,NA,NA,NA
"91","1_1_NA_NA_22_4274",4274,2001,"Urbain","Kinshasa",3,"Secondary+","Masculin","50 ans et plus",2.11627383976828,"Richest","1_1_NA_NA_22",1952,1967,"Non",NA,NA,NA,"Secondary +",0,8,"45-49","Currently married",NA,0.64203,NA,NA,NA
"92","1_1_NA_NA_22_4274",4274,2001,"Urbain","Kinshasa",3,"Secondary+","Masculin","50 ans et plus",2.11627383976828,"Richest","1_1_NA_NA_22",1972,1994,"Non",NA,NA,NA,"None",0,1,"25-29","Never married",NA,0.64203,NA,NA,NA
"93","1_1_NA_NA_22_4274",4274,2001,"Urbain","Kinshasa",3,"Secondary+","Masculin","50 ans et plus",2.11627383976828,"Richest","1_1_NA_NA_22",1974,NA,NA,NA,NA,NA,"Secondary +",NA,0,"25-29","Never married",NA,0.64203,NA,NA,NA
"94","1_1_NA_NA_22_4275",4275,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",1.83592587604412,"Richest","1_1_NA_NA_22",1974,1995,"Non","Docteur","Non","Non","Secondary +",0,2,"25-29","Currently married","2001",0.64203,"Docteur","Non","Non"
"95","1_1_NA_NA_22_4275",4275,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",1.83592587604412,"Richest","1_1_NA_NA_22",1964,1984,"Non",NA,NA,NA,"Secondary +",0,3,"35-39","Formerly married",NA,0.64203,NA,NA,NA
"96","1_1_NA_NA_22_4276",4276,2001,"Urbain","Kinshasa",1,"Primary","Masculin","50 ans et plus",1.07981078666999,"Richest","1_1_NA_NA_22",1981,1998,"Non","Docteur","Non","Non","Secondary +",0,2,"20-24","Currently married","2001",0.64203,"Non","Non","Matrone"
