"","HH1","HH2","HH6","HH7","HH7B","HH9","HH13","HC1A","HC1C","helevel","HHSEX","windex5"
"49",2,177,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Protestant","Bantou","Secondary +","Male","Richest"
"50",2,187,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"51",2,196,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Protestant","Bantou","Secondary +","Male","Richest"
"52",2,206,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"53",2,216,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"54",2,225,"Urbain","Kinshasa","Kinshasa","Rempli",6,"Protestant","Bantou","Secondary +","Male","Richest"
"55",2,235,"Urbain","Kinshasa","Kinshasa","Rempli",5,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"56",2,245,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","None","Male","Richest"
"57",2,255,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Armee du salut","Bantou","Secondary +","Male","Richest"
"58",2,264,"Urbain","Kinshasa","Kinshasa","Rempli",4,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"59",2,274,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Sans religion","Bantou","Secondary +","Male","Richest"
"60",2,284,"Urbain","Kinshasa","Kinshasa","Pas a la maison",NA,NA,NA,NA,NA,"0"
"61",3,1,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"62",3,11,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Sans religion","Bantou","Secondary +","Male","Richest"
"63",3,20,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Armee du salut","Bantou","Secondary +","Male","Richest"
"64",3,29,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"65",3,39,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"66",3,48,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Sans religion","Bantou","Secondary +","Male","Richest"
"67",3,58,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Sans religion","Bantou","None","Male","Richest"
"68",3,67,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Sans religion","Bantou","Primary","Male","Fourth"
"69",3,76,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Protestant","Bantou","Secondary +","Female","Richest"
"70",3,86,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Kimbanguiste","Bantou","Primary","Female","Richest"
"71",3,95,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Kimbanguiste","Bantou","None","Female","Richest"
"72",3,104,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"73",3,114,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"74",3,123,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Animisme/ Religions traditionnelles afric.","Bantou","Secondary +","Male","Richest"
"75",3,132,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Catholique","Bantou","Secondary +","Male","Richest"
"76",3,142,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Primary","Male","Richest"
"77",3,151,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autres chretiens independants","Bantou","Missing/DK","Male","Richest"
"78",3,161,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Catholique","Bantou","None","Female","Richest"
"79",3,170,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Eglises de reveil","Bantou","Primary","Female","Richest"
"80",3,179,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"81",3,189,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Primary","Male","Richest"
"82",3,198,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Catholique","Bantou","Secondary +","Female","Richest"
"83",3,207,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Primary","Male","Richest"
"84",3,217,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Musulman","Bantou","Secondary +","Male","Richest"
"85",3,226,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Armee du salut","Bantou","Secondary +","Male","Richest"
"86",3,235,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"87",3,245,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"88",3,254,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Kimbanguiste","Bantou","Secondary +","Male","Richest"
"89",3,264,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"90",3,273,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"91",4,2,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"92",4,11,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"93",4,20,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Catholique","Bantou","Secondary +","Male","Richest"
"94",4,29,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Catholique","Bantou","Secondary +","Male","Richest"
"95",4,38,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Catholique","Bantou","Secondary +","Male","Richest"
"96",4,47,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"97",4,56,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Temoins de Jehovah","Bantou","Secondary +","Male","Richest"
"98",4,65,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"99",4,74,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Catholique","Bantou","Secondary +","Female","Richest"
"100",4,83,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"101",4,92,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Catholique","Bantou","Secondary +","Female","Richest"
"102",4,101,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"103",4,110,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"104",4,119,"Urbain","Kinshasa","Kinshasa","Rempli",4,"Protestant","Bantou","Primary","Female","Richest"
"105",4,129,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Autres chretiens independants","Bantou","Secondary +","Female","Richest"
"106",4,138,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Catholique","Bantou","Primary","Female","Richest"
"107",4,147,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"108",4,156,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"109",4,165,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"110",4,174,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Catholique","Bantou","Secondary +","Male","Richest"
"111",4,183,"Urbain","Kinshasa","Kinshasa","Refusé",NA,NA,NA,NA,NA,"0"
"112",4,192,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"113",4,201,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Musulman","Bantou","None","Male","Richest"
"114",4,210,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"115",4,219,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"116",4,228,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"117",4,237,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"118",4,246,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Protestant","Bantou","Secondary +","Male","Richest"
"119",4,255,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"120",4,265,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Catholique","Bantou","Secondary +","Male","Richest"
"121",5,1,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"122",5,10,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Primary","Female","Richest"
"123",5,19,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Protestant","Bantou","Secondary +","Male","Richest"
"124",5,28,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"125",5,37,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Musulman","Autre groupe","Missing/DK","Male","Richest"
"126",5,46,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"127",5,55,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Protestant","Bantou","Secondary +","Female","Richest"
"128",5,65,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"129",5,74,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Catholique","Bantou","Secondary +","Male","Richest"
"130",5,83,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Kimbanguiste","Bantou","Secondary +","Male","Richest"
"131",5,92,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Musulman","Chamite","Secondary +","Male","Richest"
"132",5,101,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"133",5,110,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"134",5,120,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"135",5,129,"Urbain","Kinshasa","Kinshasa","Pas a la maison",NA,NA,NA,NA,NA,"0"
"136",5,138,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"137",5,147,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Autres chretiens independants","Bantou","Secondary +","Female","Richest"
"138",5,156,"Urbain","Kinshasa","Kinshasa","Rempli",4,"Catholique","Bantou","Primary","Female","Richest"
"139",5,165,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"140",5,175,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"141",5,184,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"142",5,193,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"143",5,202,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Catholique","Bantou","Secondary +","Male","Richest"
"144",5,211,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Sans religion","Bantou","Secondary +","Male","Richest"
"145",5,220,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"146",5,230,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Sans religion","Bantou","Secondary +","Male","Richest"
"147",5,239,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Catholique","Bantou","Secondary +","Male","Richest"
"148",5,248,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"149",5,257,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"150",5,266,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Eglises de reveil","Bantou","None","Female","Richest"
"151",6,2,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Catholique","Bantou","None","Male","Richest"
"152",6,11,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Catholique","Bantou","Secondary +","Male","Richest"
"153",6,20,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Temoins de Jehovah","Bantou","Secondary +","Male","Richest"
"154",6,29,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Catholique","Bantou","Secondary +","Male","Richest"
"155",6,38,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Temoins de Jehovah","Bantou","Secondary +","Female","Richest"
"156",6,48,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"157",6,57,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Kimbanguiste","Bantou","Secondary +","Male","Richest"
"158",6,66,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"159",6,75,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"160",6,84,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"161",6,93,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Catholique","Bantou","Secondary +","Male","Richest"
"162",6,102,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Primary","Female","Richest"
"163",6,112,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Protestant","Bantou","Secondary +","Male","Richest"
"164",6,121,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"165",6,130,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"166",6,139,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"167",6,148,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"168",6,157,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Catholique","Bantou","Secondary +","Female","Richest"
"169",6,166,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Catholique","Bantou","Secondary +","Male","Richest"
"170",6,175,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Primary","Male","Richest"
"171",6,185,"Urbain","Kinshasa","Kinshasa","Rempli",4,"Sans religion","Bantou","Secondary +","Female","Richest"
"172",6,194,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Catholique","Bantou","Secondary +","Male","Richest"
"173",6,203,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Manquant","Bantou","Secondary +","Male","Richest"
"174",6,212,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autres chretiens independants","Bantou","None","Female","Richest"
"175",6,221,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autres chretiens independants","Bantou","Secondary +","Female","Richest"
"176",6,230,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"177",6,239,"Urbain","Kinshasa","Kinshasa","Rempli",4,"Autres chretiens independants","Bantou","None","Female","Richest"
"178",6,249,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Autres chretiens independants","Bantou","Secondary +","Female","Richest"
"179",6,258,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"180",6,267,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Sans religion","Bantou","Secondary +","Female","Richest"
"181",7,1,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Catholique","Bantou","Primary","Female","Richest"
"182",7,11,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"183",7,20,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Autres chretiens independants","Bantou","None","Female","Richest"
"184",7,30,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Kimbanguiste","Bantou","Primary","Female","Richest"
"185",7,39,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Protestant","Bantou","None","Female","Richest"
"186",7,49,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"187",7,58,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autres chretiens independants","Bantou","Secondary +","Female","Richest"
"188",7,68,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autres chretiens independants","Bantou","Primary","Female","Richest"
"189",7,78,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Protestant","Bantou","Secondary +","Male","Richest"
"190",7,87,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"191",7,97,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Catholique","Bantou","Secondary +","Male","Richest"
"192",7,106,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"193",7,116,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Protestant","Bantou","Secondary +","Male","Richest"
"194",7,125,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"195",7,135,"Urbain","Kinshasa","Kinshasa","Rempli",4,"Protestant","Bantou","Secondary +","Male","Richest"
"196",7,145,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Missing/DK","Male","Richest"
"197",7,154,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Animisme/ Religions traditionnelles afric.","Bantou","Secondary +","Male","Richest"
"198",7,164,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"199",7,173,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Protestant","Bantou","Secondary +","Male","Richest"
"200",7,183,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"201",7,192,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"202",7,202,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"203",7,212,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Eglises de reveil","Bantou","None","Male","Richest"
"204",7,221,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Sans religion","Bantou","Secondary +","Male","Richest"
"205",7,231,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"206",7,240,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"207",7,250,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Catholique","Bantou","Primary","Male","Richest"
"208",7,259,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Catholique","Bantou","Primary","Male","Richest"
"209",7,269,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Sans religion","Bantou","Secondary +","Male","Richest"
"210",7,278,"Urbain","Kinshasa","Kinshasa","Rempli",4,"Eglises de reveil","Bantou","Primary","Female","Richest"
"211",8,1,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Kimbanguiste","Bantou","Secondary +","Male","Richest"
"212",8,10,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Catholique","Bantou","Secondary +","Male","Richest"
"213",8,20,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"214",8,29,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"215",8,38,"Urbain","Kinshasa","Kinshasa","Rempli",4,"Catholique","Bantou","Secondary +","Male","Richest"
"216",8,48,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Catholique","Bantou","Secondary +","Male","Richest"
"217",8,57,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"218",8,66,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"219",8,76,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Catholique","Bantou","Secondary +","Male","Richest"
"220",8,85,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Protestant","Bantou","Secondary +","Female","Richest"
"221",8,95,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"222",8,104,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"223",8,113,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Catholique","Bantou","Secondary +","Male","Richest"
"224",8,123,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"225",8,132,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Catholique","Bantou","Secondary +","Male","Richest"
"226",8,141,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Catholique","Bantou","Secondary +","Male","Richest"
